Plot,Light/Dark,Start,End,Ta
1,L,12:05:00,12:09:00,33.3
1,D,12:10:00,12:14:00,33.3
2,L,12:18:40,12:22:40,33.3
2,D,12:24:20,12:28:20,33.3
3,L,12:34:20,12:38:20,33.3
3,D,12:38:20,12:42:20,33.3
4,L,12:46:40,12:50:40,35.6
4,D,12:51:40,12:55:40,35.6
5,L,13:00:40,13:04:40,33.3
5,D,13:05:00,13:09:00,33.3
6,L,13:15:40,13:19:40,32.2
6,D,13:22:01,13:26:01,32.2
